RT,First name,Last name,Party,Constituency,Uri,Rebel
24780,Conor,Burns,Conservative,Bournemouth West,http://data.parliament.uk/members/3922,13
11447,Dawn,Butler,Labour,Brent Central,http://data.parliament.uk/members/1489,1
25895,Rob,Butler,Conservative,Aylesbury,http://data.parliament.uk/members/4745,23
25816,Ian,Byrne,Labour,"Liverpool, West Derby",http://data.parliament.uk/members/4831,10
11360,Liam,Byrne,Labour,"Birmingham, Hodge Hill",http://data.parliament.uk/members/1171,2
25343,Ruth,Cadbury,Labour,Brentford and Isleworth,http://data.parliament.uk/members/4389,12
24740,Alun,Cairns,Conservative,Vale of Glamorgan,http://data.parliament.uk/members/4086,18
25863,Amy,Callaghan,Scottish National Party,East Dunbartonshire,http://data.parliament.uk/members/4770,0
25276,Lisa,Cameron,Scottish National Party,"East Kilbride, Strathaven and Lesmahagow",http://data.parliament.uk/members/4412,2
10086,Alan,Campbell,Labour,Tynemouth,http://data.parliament.uk/members/529,14
10780,Gregory,Campbell,DUP,East Londonderry,http://data.parliament.uk/members/1409,4
25642,Dan,Carden,Labour,"Liverpool, Walton",http://data.parliament.uk/members/4651,14
10785,Alistair,Carmichael,Liberal Democrat,Orkney and Shetland,http://data.parliament.uk/members/1442,6
25884,Andy,Carter,Conservative,Warrington South,http://data.parliament.uk/members/4791,23
25414,James,Cartlidge,Conservative,South Suffolk,http://data.parliament.uk/members/4519,22
10095,Bill,Cash,Conservative,Stone,http://data.parliament.uk/members/288,20
25897,Miriam,Cates,Conservative,Penistone and Stocksbridge,http://data.parliament.uk/members/4865,21
25397,Maria,Caulfield,Conservative,Lewes,http://data.parliament.uk/members/4492,18
25340,Alex,Chalk,Conservative,Cheltenham,http://data.parliament.uk/members/4481,22
25872,Wendy,Chamberlain,Liberal Democrat,North East Fife,http://data.parliament.uk/members/4765,7
25168,Sarah,Champion,Labour,Rotherham,http://data.parliament.uk/members/4267,13
25305,Douglas,Chapman,Scottish National Party,Dunfermline and West Fife,http://data.parliament.uk/members/4402,0
25676,Bambos,Charalambous,Labour,"Enfield, Southgate",http://data.parliament.uk/members/4610,13
25404,Joanna,Cherry,Scottish National Party,Edinburgh South West,http://data.parliament.uk/members/4419,0
24920,Rehman,Chishti,Conservative,Gillingham and Rainham,http://data.parliament.uk/members/3987,14
10103,Christopher,Chope,Conservative,Christchurch,http://data.parliament.uk/members/242,21
25408,Jo,Churchill,Conservative,Bury St Edmunds,http://data.parliament.uk/members/4380,23
25896,Feryal,Clark,Labour,Enfield North,http://data.parliament.uk/members/4822,14
11884,Greg,Clark,Conservative,Tunbridge Wells,http://data.parliament.uk/members/1578,21
25657,Simon,Clarke,Conservative,Middlesbrough South and East Cleveland,http://data.parliament.uk/members/4655,19
25900,Theo,Clarke,Conservative,Stafford,http://data.parliament.uk/members/4819,23
25862,Brendan,Clarke-Smith,Conservative,Bassetlaw,http://data.parliament.uk/members/4756,22
25825,Chris,Clarkson,Conservative,Heywood and Middleton,http://data.parliament.uk/members/4835,24
25376,James,Cleverly,Conservative,Braintree,http://data.parliament.uk/members/4366,22
10119,Geoffrey,Clifton-Brown,Conservative,The Cotswolds,http://data.parliament.uk/members/249,21
24771,Therese,Coffey,Conservative,Suffolk Coastal,http://data.parliament.uk/members/4098,20
25907,Elliot,Colburn,Conservative,Carshalton and Wallington,http://data.parliament.uk/members/4775,25
24744,Damian,Collins,Conservative,Folkestone and Hythe,http://data.parliament.uk/members/3986,18
25901,Daisy,Cooper,Liberal Democrat,St Albans,http://data.parliament.uk/members/4769,0
11667,Rosie,Cooper,Labour,West Lancashire,http://data.parliament.uk/members/1538,12
10131,Yvette,Cooper,Labour,"Normanton, Pontefract and Castleford",http://data.parliament.uk/members/420,11
10133,Jeremy,Corbyn,Labour,Islington North,http://data.parliament.uk/members/185,9
